<frozen importlib._bootstrap>:491: RuntimeWarning: Your system is avx2 capable but pygame was not built with support for it. The performance of some of your blits could be adversely affected. Consider enabling compile time detection with environment variables like PYGAME_DETECT_AVX2=1 if you are compiling without cross compilation.
/home/masasa23/projects/personal/oink-oink/oink/network.py:72: UserWarning: Sparse invariant checks are implicitly disabled. Memory errors (e.g. SEGFAULT) will occur when operating on a sparse tensor which violates the invariants, but checks incur performance overhead. To silence this warning, explicitly opt in or out. See `torch.sparse.check_sparse_tensor_invariants.__doc__` for guidance.  (Triggered internally at /__w/pytorch/pytorch/aten/src/ATen/Context.cpp:848.)
  weight = torch.sparse_coo_tensor(self.indices, self.values, self.shape)
Using cpu device
---------------------------------
| rollout/           |          |
|    explained_variance   | 0.261        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.334        |
|    n_updates            | 270          |
|    policy_gradient_loss | -0.00877     |
|    value_loss           | 1.35         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 266         |
|    ep_rew_mean          | 8.28        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 29          |
|    time_elapsed         | 18508       |
|    total_timesteps      | 14848       |
| train/                  |             |
|    approx_kl            | 0.013255513 |
|    clip_fraction        | 0.164       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.04       |
|    explained_variance   | 0.242       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0196      |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.00736    |
|    value_loss           | 0.128       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 270         |
|    ep_rew_mean          | 8.66        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 30          |
|    time_elapsed         | 18592       |
|    total_timesteps      | 15360       |
| train/                  |             |
|    approx_kl            | 0.007758613 |
|    clip_fraction        | 0.0309      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.06       |
|    explained_variance   | 0.166       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00851     |
|    n_updates            | 290         |
|    policy_gradient_loss | -0.00542    |
|    value_loss           | 0.102       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 273         |
|    ep_rew_mean          | 8.76        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 31          |
|    time_elapsed         | 18672       |
|    total_timesteps      | 15872       |
| train/                  |             |
|    approx_kl            | 0.012396139 |
|    clip_fraction        | 0.19        |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.03       |
|    explained_variance   | 0.169       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.205       |
|    n_updates            | 300         |
|    policy_gradient_loss | 0.00302     |
|    value_loss           | 1.65        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 277         |
|    ep_rew_mean          | 9.17        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 32          |
|    time_elapsed         | 18755       |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.009200543 |
|    clip_fraction        | 0.113       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.03       |
|    explained_variance   | 0.284       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.771       |
|    n_updates            | 310         |
|    policy_gradient_loss | 0.0106      |
|    value_loss           | 1.95        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 277          |
|    ep_rew_mean          | 9.27         |
| time/                   |              |
|    fps                  | 0            |
|    iterations           | 33           |
|    time_elapsed         | 18837        |
|    total_timesteps      | 16896        |
| train/                  |              |
|    approx_kl            | 0.0098279435 |
|    clip_fraction        | 0.0609       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.97        |
|    explained_variance   | 0.0789       |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0905       |
|    n_updates            | 320          |
|    policy_gradient_loss | -0.00381     |
|    value_loss           | 0.518        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 277         |
|    ep_rew_mean          | 9.27        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 34          |
|    time_elapsed         | 18919       |
|    total_timesteps      | 17408       |
| train/                  |             |
|    approx_kl            | 0.010339728 |
|    clip_fraction        | 0.0744      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.951      |
|    explained_variance   | -0.00151    |
|    learning_rate        | 0.0003      |
|    loss                 | 0.581       |
|    n_updates            | 330         |
|    policy_gradient_loss | -0.0103     |
|    value_loss           | 2.37        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 281         |
|    ep_rew_mean          | 9.63        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 35          |
|    time_elapsed         | 19001       |
|    total_timesteps      | 17920       |
| train/                  |             |
|    approx_kl            | 0.007188621 |
|    clip_fraction        | 0.0545      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.872      |
|    explained_variance   | -0.0427     |
|    learning_rate        | 0.0003      |
|    loss                 | 0.744       |
|    n_updates            | 340         |
|    policy_gradient_loss | 0.000466    |
|    value_loss           | 1.76        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 288         |
|    ep_rew_mean          | 10.3        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 36          |
|    time_elapsed         | 19083       |
|    total_timesteps      | 18432       |
| train/                  |             |
|    approx_kl            | 0.017550297 |
|    clip_fraction        | 0.176       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.947      |
|    explained_variance   | -0.158      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.016       |
|    n_updates            | 350         |
|    policy_gradient_loss | -0.0118     |
|    value_loss           | 0.268       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 286         |
|    ep_rew_mean          | 10.2        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 37          |
|    time_elapsed         | 19167       |
|    total_timesteps      | 18944       |
| train/                  |             |
|    approx_kl            | 0.012483928 |
|    clip_fraction        | 0.0785      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.905      |
|    explained_variance   | -0.211      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0189      |
|    n_updates            | 360         |
|    policy_gradient_loss | -0.00625    |
|    value_loss           | 0.145       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 290         |
|    ep_rew_mean          | 10.5        |
| time/                   |             |
|    fps                  | 1           |
|    iterations           | 38          |
|    time_elapsed         | 19251       |
|    total_timesteps      | 19456       |
| train/                  |             |
|    approx_kl            | 0.014156263 |
|    clip_fraction        | 0.115       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.95       |
|    explained_variance   | -0.121      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.515       |
|    n_updates            | 370         |
|    policy_gradient_loss | 0.0111      |
|    value_loss           | 2.31        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 292          |
|    ep_rew_mean          | 10.8         |
| time/                   |              |
|    fps                  | 1            |
|    iterations           | 39           |
|    time_elapsed         | 19334        |
|    total_timesteps      | 19968        |
| train/                  |              |
|    approx_kl            | 0.0101285335 |
|    clip_fraction        | 0.0682       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.993       |
|    explained_variance   | -0.0703      |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0131       |
|    n_updates            | 380          |
|    policy_gradient_loss | -0.0111      |
|    value_loss           | 0.0923       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 295         |
|    ep_rew_mean          | 11.1        |
| time/                   |             |
|    fps                  | 1           |
|    iterations           | 40          |
|    time_elapsed         | 19418       |
|    total_timesteps      | 20480       |
| train/                  |             |
|    approx_kl            | 0.007147451 |
|    clip_fraction        | 0.0602      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.918      |
|    explained_variance   | 0.123       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.67        |
|    n_updates            | 390         |
|    policy_gradient_loss | 0.000791    |
|    value_loss           | 2.15        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 298         |
|    ep_rew_mean          | 11.4        |
| time/                   |             |
|    fps                  | 1           |
|    iterations           | 41          |
|    time_elapsed         | 19500       |
|    total_timesteps      | 20992       |
| train/                  |             |
|    approx_kl            | 0.010404022 |
|    clip_fraction        | 0.104       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.863      |
|    explained_variance   | 0.274       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0481     |
|    n_updates            | 400         |
|    policy_gradient_loss | -0.0117     |
|    value_loss           | 0.173       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 301          |
|    ep_rew_mean          | 11.6         |
| time/                   |              |
|    fps                  | 1            |
|    iterations           | 42           |
|    time_elapsed         | 19583        |
|    total_timesteps      | 21504        |
| train/                  |              |
|    approx_kl            | 0.0032891883 |
|    clip_fraction        | 0.0156       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.836       |
|    explained_variance   | 0.126        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0276       |
|    n_updates            | 410          |
|    policy_gradient_loss | -0.00283     |
|    value_loss           | 0.172        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 304         |
|    ep_rew_mean          | 11.9        |
| time/                   |             |
|    fps                  | 1           |
|    iterations           | 43          |
|    time_elapsed         | 19665       |
|    total_timesteps      | 22016       |
| train/                  |             |
|    approx_kl            | 0.005607008 |
|    clip_fraction        | 0.0428      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.807      |
|    explained_variance   | 0.493       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0111      |
|    n_updates            | 420         |
|    policy_gradient_loss | -0.00336    |
|    value_loss           | 0.0547      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 307          |
|    ep_rew_mean          | 12.2         |
| time/                   |              |
|    fps                  | 1            |
|    iterations           | 44           |
|    time_elapsed         | 19753        |
|    total_timesteps      | 22528        |
| train/                  |              |
|    approx_kl            | 0.0057347813 |
|    clip_fraction        | 0.0576       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.699       |
|    explained_variance   | 0.638        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0257       |
|    n_updates            | 430          |
|    policy_gradient_loss | -0.0123      |
|    value_loss           | 0.0192       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 309         |
|    ep_rew_mean          | 12.5        |
| time/                   |             |
|    fps                  | 1           |
|    iterations           | 45          |
|    time_elapsed         | 19838       |
|    total_timesteps      | 23040       |
| train/                  |             |
|    approx_kl            | 0.007608745 |
|    clip_fraction        | 0.101       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.645      |
|    explained_variance   | 0.0225      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0104     |
|    n_updates            | 440         |
|    policy_gradient_loss | -0.00927    |
